States	I-org
were	O
,	O
at	O
the	O
time	O
of	O
my	O
appointment	O
,	O
well	O
ac	O
¬	O
quainted	O
with	O
my	O
having	O
to	O
finifh	O
my	O
year	O
in	O
prefiding	O
over	O
this	O
State	O
;	O
but	O
no	O
hint	O
has	O
ever	O
been	O
given	O
tome	O
of	O
my	O
acceptance	O
of	O
an	O
office	O
under	O
the	O
prefent	O
general	O
government	O
,	O
rendering	O
void	O
any	O
State	O
appointment	O
;	O
even	O
though	O
I	O
have	O
had	O
the	O
honour	O
of	O
being	O
often	O
,	O
fince	O
my	O
accep	O
¬	O
tance	O
of	O
the	O
office	O
of	O
Diftridl	O
Judge	O
for	O
New	B-loc
-	I-loc
Hampfttire	I-loc
,	O
in	O
company	O
with	O
the	O
Prefident	O
of	O
the	O
United	B-loc
States	I-loc
,	O
who	O
knew	O
I	O
was	O
the	O
Prefident	O
of	O
this	O
State	O
,	O
and	O
treated	O
me	O
as	O
fuch	O
,	O
although	O
he	O
at	O
the	O
fame	O
time	O
knew	O
that	O
I	O
had	O
long	O
before	O
accept	O
¬	O
ed	O
the	O
office	O
of	O
Federal	O
Judge	O
.	O

I	O
know	O
the	O
candour	O
and	O
juftice	O
of	O
the	O
members	O
of	O
both	O
branches	O
;	O
and	O
I	O
have	O
too	O
high	O
an	O
opinion	O
of	O
their	O
integrity	O
and	O
uprightnefs	O
to	O
fuppofe	O
,	O
that	O
they	O
will	O
fuffer	O
themfelves	O
to	O
be	O
influenced	O
by	O
the	O
efforts	O
of	O
one	O
or	O
more	O
,	O
who	O
cannot	O
avoid	O
at	O
every	O
opportunity	O
,	O
difeovering	O
the	O
fpirit	O
which	O
alhi	O
-	O
ates	O
them	O
in	O
their	O
conduB	O
.	O

I	O
have	O
the	O
honour	O
,	O
&	O
c	O
.	O

&	O
c	O
.	O

JOHN	B-pers
SULLIVAN	I-pers
.	O

Dec	B-time
.	I-time
29	I-time
,	I-time
1789	I-time
.	O
_	O
_	O


LONDON	B-loc
,	O
Dec	O
.	O
31	O
.	O

The	O
official	O
account	O
of	O
the	O
capture	O
ofBruffels	B-loc
pnbliflied	O
by	O
the	O
Patriots	O
,	O
is	O
as	O
under	O
.	O

It	O
is	O
dated	O
the	O
12tli	O
of	O
December	O
.	O

“	O
At	O
length	O
,	O
notwithftanding	O
the	O
armifiice	O
,	O
and	O
every	O
other	O
pretence	O
,	O
joo	O
brave	O
Patriots	O
of	O
Brufiels	B-loc
have	O
dared	O
to	O
engage	O
in	O
battle	O
with	O
6poo	O
Aullrains	O
.	O

The	O
action	O
commencedyelterday	O
af	O
¬	O
ternoon	O
,	O
at	O
four	O
o	O
’	O
clock	O
.	O

The	O
firft	O
attenpt	O
was.tp	O
make	O
prifoners	O
of	O
all	O
the	O
loldiers	O
who	O
guarded	O
the	O
Mint	O
,	O
and	O
thofe	O
who	O
were	O
quartered	O
in	O
the	O
different	O
converts	O
.	O

General	B-pers
D	I-pers
’	I-pers
Alton	I-pers
did	O
his	O
tu	O
¬	O
rnoff	O
from	O
fix	O
o	O
’	O
clock	O
in	O
the	O
morning	O
to	O
negociate	O
an	O
armifiice	O
.	O

About	O
(	O
even	O
o	O
’	O
clock	O
,	O
8co	O
men	O
of	O
Benden	B-pers
-	I-pers
D	I-pers
’	I-pers
Aloft	I-pers
entered	O
the	O
city	O
with	O
two	O
pieces	O
of	O
cannon	O
,	O
which	O
they	O
planted	O
on	O
the	O
Grand	B-loc
Pa	I-loc
¬	I-loc
lace	I-loc
.	O

About	O
ten	O
o	O
’	O
clock	O
General	B-pers
D	I-pers
’	I-pers
Alton	I-pers
thought	O
proper	O
to	O
fend	O
a	O
large	O
dctatchment	O
in	O
order	O
to	O
releafe	O
,	O
by	O
forcible	O
means	O
,	O
the	O
ollicers	O
and	O
pri	O
¬	O
vates	O
made	O
prifoners	O
in	O
lhe	O
Bafleville	B-loc
.	O

This	O
was	O
the	O
fignal	O
for	O
a	O
new	O
engagement	O
,	O
which	O
will	O
be	O
ever	O
memorable	O
for	O
its	O
victory	O
.	O

The	O
Patriots	O
no	O
longer	O
able	O
to	O
contain	O
themfelves	O
,	O
routed	O
the	O
whole	O
detatchment	O
.	O

To	O
the	O
number	O
of	O
joo	O
,	O
at	O
the	O
utmoft	O
,	O
they	O
invelled	O
the	O
great	B-loc
market	I-loc
,	O
and	O
after	O
a	O
mod	O
obllinatc	O
conflict	O
,	O
they	O
made	O
them	O
¬	O
felves	O
mafters	O
of	O
the	O
Coros	O
de	O
Garde	O
,	O
and	O
two	O
pieces	O
of	O
cannon	O
,	O
and	O
took	O
obotlt	O
400	O
Auftrians	O
prifoners	O
.	O

About	O
the	O
fame	O
time	O
the	O
engagement	O
re	O
-	O
commenced	O
in	O
all	O
quartersof	O
the	O
city	O
;	O
and	O
,	O
in	O
lefs	O
than	O
two	O
hours	O
,	O
the	O
Patriots	O
made	O
themfelves	O
matter	O
of	O
the	O
barracks	O
of	O
the	O
military	O
andofthe	O
magazines	O
,	O
in	O
which	O
they	O
found	O
near	O
2,000	O
muf	O
-	O
kets	O
,	O
befides	O
cartridges	O
,	O
ammunition	O
,	O
&	O
c	O
.	O

To	O
¬	O
wards	O
noon	O
,	O
they	O
attacked	O
the	O
Park	B-loc
and	O
the	O
Pal	B-loc
¬	I-loc
ace	I-loc
Royale	I-loc
,	O
where	O
the	O
greateft	O
body	O
of	O
troops	O
were	O
concentered	O
,	O
with	O
12	O
pieces	O
or	O
cannon	O
.	O

After	O
a	O
very	O
heavy	O
firing	O
on	O
both	O
fides	O
,	O
D	B-pers
’	I-pers
Alton	I-pers
perceiving	O
that	O
the	O
place	O
was	O
no	O
longer	O
tenable	O
againtt	O
fo	O
much	O
bravery	O
,	O
capitulated	O
for	O
the	O
im	O
¬	O
mediate	O
retreat	O
of	O
his	O
whole	O
gerrifon	O
;	O
and	O
the	O
requell	O
having	O
been	O
acceded	O
to	O
,	O
about	O
one	O
o	O
’	O
clock	O
they	O
departed	O
,	O
with	O
great	O
precipitation	O
,	O
through	O
the	O
Porte	B-loc
de	I-loc
Namur	I-loc
.	O

But	O
as	O
all	O
the	O
foldieis	O
arc	O
not	O
equally	O
inclined	O
to	O
follow	O
hinj	O
,	O
at	O
the	O
mo	O
¬	O
ment	O
this	O
is	O
writing	O
,	O
they	O
are	O
fquabbling	O
among	O
theinlelves	O
,	O
without	O
the	O
city	O
.	O

Already	O
,	O
we	O
have	O
got	O
more	O
than	O
3,000	O
prifoners	O
;	O
buta	O
few	O
killed	O
,	O
and	O
no	O
houfes	O
plundered	O
.	O


For	O
the	O
Gazstte	B-prod
of	I-prod
the	I-prod
Unites	I-prod
States	I-prod
,	O
i	O
Letter	O
I	O
.	O
TO	O
THOMAS	B-pers
JEFFERSON	I-pers
,	I-pers
Vise	I-pers
President	I-pers
of	I-pers
the	I-pers
Unit	I-pers
.	I-pers

!	I-pers

States	I-pers
,	O
Philad	B-loc
:	O
July	B-time
3	I-time
,	I-time
1800	I-time
.	O

AS	O
you	O
are	O
a	O
candidate	O
for	O
the	O
Supreme	O
-	O
Magistracy	O
ot	O
the	O
United	B-loc
States	I-loc
,	O
a	O
know	O
¬	O
ledge	O
of	O
your	O
character	O
and	O
qualifications	O
becomes	O
a	O
subject	O
of	O
great	O
importance	O
to	O
every	O
lover	O
of	O
his	O
country	O
.	O

—	O
Had	O
you	O
been	O
content	O
to	O
have	O
moved	O
in	O
the	O
humble	O
walks	O
of	O
private	O
life	O
and	O
never	O
interfered	O
in	O
politi	O
¬	O
cal	O
concerns	O
,	O
I	O
would	O
not	O
have	O
troubled	O
you	O
cr	O
the	O
public	O
with	O
these	O
setters	O
,	O
since	O
your	O
vices	O
or	O
your	O
virtues	O
could	O
have	O
had	O
but	O
little	O
relation	O
to	O
our	O
national	O
happiness	O
;	O
—	O
You	O
might	O
then	O
,	O
Sir	O
,	O
have	O
Aided	O
down	O
the	O
current	O
of	O
Use	O
in	O
obscurity	O
,	O
and	O
at	O
least	O
have	O
had	O
the	O
consolation	O
to	O
know	O
that	O
your	O
de	O
¬	O
formities	O
were	O
hidden	O
from	O
the	O
world	O
.	O

But	O
,	O
as	O
,	O
Sir	O
,	O
you	O
have	O
appeared	O
on	O
the	O
stage	O
of	O
public	O
life	O
in	O
a	O
variety	O
of	O
situations	O
,	O
and	O
now	O
offer	O
yourself	O
as	O
a	O
candidate	O
for	O
the	O
Presi	O
-	O
drncy	O
,	O
you	O
will	O
please	O
excuse	O
the	O
liberty	O
I	O
take	O
to	O
investigate	O
a	O
character	O
,	O
which	O
,	O
from	O
a	O
false	O
opinion	O
of	O
,	O
your	O
country	O
may	O
perhitps	O
confide	O
her	O
dearest	O
interest	O
to	O
.	O

It	O
is	O
my	O
duty	O
,	O
as	O
it	O
is	O
my	O
wiffi	O
,	O
to	O
give	O
you	O
credit	O
for	O
every	O
great	O
or	O
good	O
quality	O
you	O
possess	O
,	O
and	O
to	O
speak	O
with	O
gratitude	O
of	O
any	O
services	O
you	O
have	O
rendered	O
America	B-loc
in	O
the	O
course	O
of	O
a	O
long	O
life	O
busied	O
with	O
public	O
cares	O
,	O
—	O
-	O
But	O
,	O
Sir	O
,	O
it	O
is	O
also	O
my	O
duty	O
to	O
speak	O
ot	O
those	O
other	O
qualities	O
of	O
your	O
'	O
heart	O
and	O
mind	O
which	O
have	O
been	O
also	O
employed	O
in	O
the	O
national	O
ass.irs	O
of	O
our	O
country	O
.	O

Nature	O
,	O
Sir	O
,	O
in	O
profusion	O
,	O
gifted	O
you	O
witli	O
talents	O
,	O
a	O
brilliant	O
fancy	O
,	O
penetrating	O
genius	O
and	O
a	O
native	O
elegance	O
of	O
diction	O
,	O
combined	O
with	O
a	O
thirst	O
for	O
knowledge	O
,	O
formed	O
yqp	O
a	O
man	O
of	O
lea	O
rung	O
and	O
taste	O
,	O
well	O
acquainted	O
with	O
the	O
classics	O
,	O
deeply	O
read	O
in	O
the	O
philoso	O
-	O
phy	O
of	O
natural	O
history	O
,	O
observant	O
of	O
men	O
and	O
things	O
,	O
and	O
attentive	O
in	O
theory	O
to	O
political	O
concerns	O
.	O

But	O
,	O
to	O
balance	O
tin	O
fe	O
singular	O
favors	O
,	O
stie	O
denied	O
you	O
others	O
,	O
which	O
,	O
to	O
“	O
move	O
in	O
the	O
tempestuous	O
sea	O
of	O
liberty	O
,	O
"	O
or	O
guide	O
the	O
helm	O
of	O
a	O
great	O
nation	O
,	O
are	O
of	O
more	O
utility	O
and	O
absolutely	O
indispensable	O
.	O

—	O
Your	O
fortitude	O
has	O
been	O
often	O
tried	O
and	O
found	O
unequal	O
to	O
the	O
talk	O
—	O
much	O
less	O
arduous	O
than	O
the	O
one	O
you	O
are	O
fa	O
indefatigably	O
striving	O
to	O
impose	O
on	O
yourself	O
;	O
,	O
your	O
mind	O
is	O
fitted	O
for	O
a	O
sedentary	O
life	O
,	O
and	O
in	O
your	O
closet	O
you	O
may	O
study	O
,	O
with	O
honor	O
to	O
yourself	O
,	O
the	O
works	O
of	O
Nature	O
;	O
but	O
the	O
fatigues	O
,	O
perseverance	O
and	O
firm	O
Mnper	O
,	O
nectssiry	O
in	O
an	O
Executive	O
sta	O
¬	O
tion	O
,	O
would	O
wear	O
out	O
the	O
remains	O
of	O
those	O
delicate	O
nerves	O
which	O
have	O
on	O
former	O
occa	O
¬	O
sions	O
so	O
often	O
shrunk	O
from	O
the	O
approach	O
of	O
danger	O
,	O
and	O
rendered	O
an	O
enlightened	O
under	O
¬	O
standing	O
useless	O
to	O
its	O
possessor	O
and	O
injurious	O
to	O
his	O
country	O
.	O

Let	O
me	O
conjure	O
you	O
,	O
Sir	O
,	O
to	O
call	O
to	O
your	O
remembrance	O
the	O
history	O
of	O
your	O
political	O
life	O
,	O
and	O
from	O
a	O
regard	O
to	O
your	O
peace	O
and	O
reputation	O
,	O
not	O
involve	O
yourself	O
in	O
that	O
disgrace	O
which	O
must	O
inevitably	O
attend	O
your	O
acceptance	O
of	O
the	O
Presidency	O
.	O

You	O
have	O
been	O
,	O
Sir	O
,	O
a	O
Governor	O
,	O
an	O
Ambassador	O
,	O
and	O
a	O
Secretary	O
of	O
State	O
,	O
and	O
had	O
to	O
desert	O
each	O
of	O
these	O
posts	O
,	O
from	O
that	O
weakness	O
of	O
nerves	O
,	O
want	O
of	O
fortitude	O
and	O
total	O
imbecility	O
of	O
character	O
,	O
which	O
have	O
marked	O
your	O
whole	O
political	O
carier	O
,	O
and	O
most	O
probably	O
will	O
at	O
¬	O
tend	O
you	O
to	O
your	O
grave	O
.	O

Remember	O
,	O
Sir	O
,	O
,	O
all	O
the	O
services	O
youevei	O
rendered	O
your	O
coun	O
¬	O
try	O
were	O
of	O
the	O
literary	O
kind—The	O
Declara	O
¬	O
tion	O
of	O
Independence	O
was	O
penned	O
in	O
,	O
your	O
closet	O
,	O
where	O
you	O
were	O
perfectly	O
secure	O
;	O
but	O
I	O
do	O
not	O
recollect	O
that	O
you	O
supported	O
that	O
Declaration	O
by	O
any	O
extraordinary	O
exer	O
¬	O
tion	O
,	O
or	O
by	O
exposing	O
yourself	O
to	O
any	O
immi	O
¬	O
nent	O
danger	O
.	O

When	O
Governor	O
-	O
os	O
Virginia	B-loc
,	O
you	O
sled	O
from	O
your	O
state	O
because	O
a	O
storm	O
was	O
gathering	O
,	O
and	O
declined	O
a	O
foreign	O
appoint	O
¬	O
ment	O
by	O
Congress	O
.	O

A	O
;	O
the	O
danger	O
was	O
visi	O
-	O
ble	O
,	O
you	O
acted	O
consistently	O
with	O
your	O
chr	O
-	O
racter	O
,	O
but	O
surely	O
did	O
liot	O
display	O
either	O
much	O
firmness	O
or	O
patriotism	O
.	O

But	O
,	O
Sir	O
,	O
weakness	O
of	O
nerves	O
and	O
want	O
of	O
fortitude	O
are	O
nayiral	O
defects—they	O
are	O
not	O
faults	O
of	O
your	O
own—tho	O
’	O
were	O
you	O
,	O
con	O
¬	O
scious	O
of	O
your	O
desects	O
,	O
to	O
accept	O
the	O
impor	O
¬	O
tant	O
office	O
of	O
President	O
,	O
when	O
the	O
liberty	O
and	O
rights	O
of	O
millions	O
and	O
the	O
happiness	O
of	O
your	O
country	O
are	O
depending	O
,	O
it	O
would	O
th	O
my	O
opinion	O
,	O
amount	O
to	O
a	O
crime	O
.	O

But	O
I	O
will	O
no	O
longer	O
dwell	O
on	O
these	O
topics—In	O
my	O
next	O
letter	O
I	O
will	O
consider	O
you	O
as	O
the	O
htad	O
of	O
a	O
party	O
devoted	O
to	O
the	O
enemies	O
of	O
America	B-loc
,	O
and	O
a	O
party	O
created	O
for	O
her	O
ruin	O
.	O

COLUMBUS	B-pers
.	O


District	B-loc
of	I-loc
Pennsylvania	I-loc
to	O
wit	O
:	O
B	O
E	O
it	O
remembered	O
that	O
on	O
tshe	O
Tenth	O
day	O
of	O
July	O
in	O
the	O
twenty	O
fif	O
-	O
.	O

h	O
year	O
of	O
the	O
Indepen	O
¬	O
dence	O
of	O
the	O
United	B-loc
States	I-loc
of	I-loc
America	I-loc
,	O
Alexan	B-pers
¬	I-pers
der	I-pers
Addison	I-pers
of	O
the	O
said	O
District	O
hath	O
deposited	O
in	O
this	O
office	O
the	O
title	O
of	O
a	O
book	O
the	O
right	O
where	O
¬	O
of	O
he	O
claims	O
as	O
Author	O
in	O
tha	O
words	O
following	O
to	O
wit	O
,	O
“	O
Reports	O
of	O
cafes	O
in	O
the	O
County	O
courts	O
of	O
the	O
Fifth	O
Circuit	O
and	O
in	O
the	O
High	O
Court	O
of	O
Errors	O
and	O
appeals	O
of	O
the	O
State	B-org
of	I-org
Pennsylvania	I-org
,	O
and	O
charges	O
to	O
Grand	O
Juries	O
of	O
those	O
County	O
Courts	O
.	O
By	O
Alexander	B-pers
Addison	I-pers
,	I-pers
President	I-pers
of	I-pers
the	I-pers
Courts	I-pers
of	I-pers
Common	I-pers
Pleas	I-pers
of	I-pers
me	I-pers
Fifth	I-pers
Cir	I-pers
¬	I-pers
cuit	I-pers
of	I-pers
the	I-pers
State	I-pers
of	I-pers
Pennlylvann	I-pers
.	O
”	O

In	O
conformity	O
to	O
the	O
act	O
of	O
Congress	B-org
of	I-org
the	I-org
Uni	I-org
¬	I-org
ted	I-org
States	I-org
istitlrd	O
“	O
An	O
act	O
for	O
the	O
encouragement	O
of	O
learning	O
by	O
securimr	O
the	O
copies	O
of	O
maps	O
charts	O
and	O
books	O
to	O
the	O
Authors	O
and	O
Proprietors	O
of	O
such	O
copies	O
during	O
the	O
times	O
therein	O
mentioned	O
.	O

"	O
D.C	B-pers
*	I-pers
I.DWELL	I-pers
,	I-pers
Clerl	I-pers
of	I-pers
lie	I-pers
DiJtriEl	I-pers
of	I-pers
Peonsyl	I-pers
v	I-pers
aoisA	I-pers
The	O
above	O
book	O
is	O
now	O
pohlsshcd	O
.	O

It	O
will	O
be	O
de	O
¬	O
livered	O
to	O
lubscribm	O
by	O
Mr	B-pers
,	I-pers
Dobson	I-pers
Bookseller	I-pers
.	O

July	O
23	O


(	O
No	O
.	O
26	O
.	O
)	O

Translation	O
.	O

Hereford	B-loc
street	I-loc
,	O
Sept	B-time
.	I-time
8	I-time
,	I-time
1800	I-time
.	O
.	O

“	O
My	O
Lord	O
,	O
•	O
’	O
1	O
received	O
yesterday	O
,	O
at	O
eleven	O
o	O
'	O
clock	O
at	O
night	O
,	O
the	O
note	O
and	O
the	O
counter	O
projet	O
which	O
your	O
excellency	O
did	O
me	O
the	O
honour	O
to	O
address	O
to	O
roe	O
.	O

The	O
principles	O
contained	O
in	O
these	O
two	O
pieces	O
are	O
,	O
in	O
several	O
respects	O
so	O
little	O
analogous	O
to	O
the	O
proposals	O
which	O
I	O
have	O
been	O
directed	O
to	O
make	O
,	O
and	O
the	O
object	O
of	O
which	O
was	O
to	O
compensate	O
by	O
a	O
Britissi	O
ar	O
¬	O
mistice	O
,	O
the	O
inconveniences	O
which	O
might	O
re	O
-	O
fultto	O
Fiance	B-loc
from	O
the	O
eventual	O
prolonga	O
¬	O
tion	O
of	O
the	O
German	O
armistice	O
,	O
that	O
I	O
can	O
¬	O
not	O
take	O
upon	O
myself	O
to	O
admit	O
them	O
with	O
¬	O
out	O
previously	O
receiving	O
furthcrinstroctiona	O
.	O

I	O
have	O
therefore	O
complied	O
with	O
your	O
excel	O
¬	O
lency	O
’	O
s	O
intentions	O
by	O
fanfmittihg	O
to	O
my	O
go	O
¬	O
vernment	O
those	O
two	O
pieces	O
,	O
with	O
as	O
little	O
delay	O
as	O
possible	O
.	O

I	O
have	O
the	O
honour	O
to	O
be	O
,	O
8cc	O
.	O

(	O
Signed	O
)	O
“	O
OTTO	B-pers
-	O
’	O
’	O


TO	O
BE	O
RENTED	O
,	O
And	O
possession	O
given	O
on	O
or	O
before	O
the	O
25th	O
of	O
March	O
next	O
,	O
A	O
LL	O
that	O
valuable	O
property	O
formerly	O
occupied	O
by	O
Col	B-pers
.	I-pers
Thomas	I-pers
Duff	I-pers
,	I-pers
Esq	I-pers
.	I-pers
in	O
the	O
village	O
of	O
Newport—consisting	B-loc
of	O
a	O
large	O
commodious	O
brick	O
dwelling	O
-	O
house	O
,	O
pleasantly	O
situated	O
on	O
the	O
main	O
street	O
and	O
elegantly	O
fronting	O
the	O
river	O
Christiana	B-loc
,	O
well	O
calculated	O
for	O
a	O
large	O
store	O
,	O
